id,price
1,631331.1
2,685252.25
3,467527.03
4,393872.44
5,856123.8
6,415140.4
7,192467.16
8,322282.34
9,344462.25
10,506682.97
11,1092664.4
12,365813.44
13,1856279.5
14,525349.3
15,597222.7
16,1404204.8
17,486110.16
18,382729.0
19,494847.44
20,435550.4
21,509356.44
22,1244869.9
23,538109.94
24,673175.44
25,346310.6
26,226744.3
27,612952.06
28,220074.2
29,610728.7
30,189401.55
31,647065.1
32,665810.7
33,416492.6
34,152721.16
35,233677.62
36,218107.94
37,297648.66
38,600844.44
39,627168.94
40,751780.8
41,676425.3
42,485877.78
43,889252.3
44,214806.53
45,255225.72
46,473069.4
47,393320.84
48,874417.06
49,1056303.0
50,2455477.0
51,380818.72
52,726064.94
53,762218.94
54,340036.66
55,539855.56
56,512213.25
57,531525.06
58,536531.94
59,228625.44
60,239384.78
61,221910.11
62,246471.66
63,364442.1
64,869023.06
65,290978.78
66,487633.6
67,819640.2
68,289156.34
69,790657.5
70,590585.25
71,431926.34
72,500097.53
73,671923.2
74,918402.06
75,475589.4
76,2426557.0
77,312925.53
78,646638.3
79,419747.34
80,1864403.9
81,216237.97
82,424878.88
83,435750.78
84,777159.94
85,381708.9
86,424737.66
87,423568.25
88,292533.88
89,374624.28
90,230454.75
91,535942.4
92,248869.05
93,590377.94
94,440956.72
95,845843.3
96,624023.44
97,1032017.44
98,374353.6
99,711496.06
100,290045.4
101,475324.44
102,429290.66
103,282842.9
104,479166.1
105,274470.72
106,785296.5
107,602400.44
108,460735.97
109,593111.44
110,387912.7
111,719814.56
112,528013.94
113,302980.66
114,393017.1
115,225552.94
116,345048.3
117,291141.2
118,924695.56
119,178564.1
120,267016.6
121,984130.94
122,265576.25
123,357799.4
124,611481.3
125,329346.7
126,294066.4
127,648947.7
128,729059.94
129,771466.2
130,227431.94
131,683589.94
132,474591.16
133,412876.28
134,432806.22
135,425255.75
136,531757.2
137,1198099.9
138,303310.38
139,577654.44
140,760934.94
141,720553.0
142,296075.62
143,708227.3
144,568803.2
145,572594.8
146,787829.06
147,1662652.6
148,327687.53
149,465089.16
150,1043081.7
151,1178424.6
152,1007039.25
153,296351.3
154,897639.25
155,516391.16
156,282630.1
157,177002.67
158,403274.47
159,206817.25
160,528497.2
161,640029.94
162,505950.0
163,573135.44
164,470393.56
165,515700.16
166,366724.34
